grantid,pid,BUDGET_START
55618,718220,10/01/1986
55631,441567,10/01/1986
55635,463031,10/01/1986
55636,441411,10/01/1986
55636,444666,10/01/1986
55636,620808,10/01/1986
55637,486513,10/01/1986
55637,602034,10/01/1986
55639,184530,10/01/1986
55639,411786,10/01/1986
55639,411891,10/01/1986
55639,426158,10/01/1986
55639,433872,10/01/1986
55642,416246,10/01/1986
55642,483656,10/01/1986
55642,616610,10/01/1986
55643,179076,10/01/1986
55643,191820,10/01/1986
55643,419119,10/01/1986
55643,419551,10/01/1986
55643,419740,10/01/1986
55643,432063,10/01/1986
55643,439251,10/01/1986
